name_gis;name_table;prop;prop_2;region;square_ga;category;type_1;type_2
Роща Декабристов;Природный парк «Ингилор» (образован в результате преобразования природного парка «Полярно-Уральский»);reg;reg;YANAO;921986,00;биологический;Производственный;Рекреационные
Тополя;Государственный природный заказник регионального значения «Мессо-Яхинский»;reg;reg;YANAO;86033,00;биологический;Производственный;ООПТ с нефтегазовым освоением
Песьяновский;Государственный природный заказник регионального значения «Полуйский»;reg;reg;YANAO;63196,00;биологический;Непроизводственный;ООПТ с лесопромышленным комплексом
Песочный;Государственный природный заказник регионального значения «Верхнеполуйский»;reg;reg;YANAO;195322,00;биологический;Непроизводственный;ООПТ с традиционным природопользованием
Пихтовый мыс;Государственный природный заказник регионального значения «Пякольский»;reg;reg;YANAO;438560,00;биологический;Непроизводственный;ООПТ с традиционным природопользованием
Лесопарк Затюменский;Государственный природный заказник регионального значения «Собты-Юганский»;reg;reg;YANAO;358429,00;биологический;Непроизводственный;ООПТ с лесопромышленным комплексом
Барсучье;Государственный природный заказник регионального значения «Ямальский»;reg;reg;YANAO;4113685,68;биологический;Производственный;ООПТ с нефтегазовым освоением
Озеро Монастырское;Памятник природы «Харбейский»;reg;reg;YANAO;563,62;геологический;Непроизводственный;Рекреационные
Припышминские боры;Государственный природный заказник регионального значения «Куноватский»;reg;reg;YANAO;252860,57;биологический;Непроизводственный;ООПТ с традиционным природопользованием
Поваровский;Государственный природный заказник регионального значения «Надымский»;reg;reg;YANAO;562995,51;биологический;Производственный;ООПТ с нефтегазовым освоением
Успенский-2;Государственный природный заказник регионального значения «Нижне-Обский»;reg;reg;YANAO;142203,92;биологический;Непроизводственный;ООПТ с традиционным природопользованием
Тополя;Государственный природный заказник регионального значения «Сынско-Войкарский»;reg;reg;YANAO;292049,00;биологический и зоологический ;Непроизводственный;ООПТ с лесопромышленным комплексом
Тобольский материк;Государственный природный заповедник «Верхне-Тазовский» (федеральное значение);fed;fed;YANAO;631308,00;биологический;Непроизводственный;Рекреационные
Хохловский курган;Национальный парк «Гыданский» (федеральное значение);fed;fed;YANAO;878174,00;биологический;Непроизводственный;Заповедные
Ишимские бугры-Афонькинский;Юганский;fed;fed;KHMAO;648636,00;государственный природный заповедник;Непроизводственный;Заповедные
Брусничное;Малая Сосьва;fed;fed;KHMAO;225562,00;государственный природный заповедник;Непроизводственный;Заповедные
Комиссаровский;Верхне-Кондинский;fed;fed;KHMAO;241600,00;государственный природный заказник;Производственный;ООПТ с лесопромышленным комплексом
Ишимские бугры-Кучумова гора;Елизаровский;fed;fed;KHMAO;76600,00;государственный природный заказник;Непроизводственный;Заповедные
Липняк Шайтанский;Васпухольский;fed;fed;KHMAO;93200,00;государственный природный заказник;Непроизводственный;Заповедные
Ишимские бугры-Гора Любви;Кондинские озера ;reg;reg;KHMAO;43900,00;Природный  парк;Производственный;Смешанные
Троицкий;Нумто;reg;reg;KHMAO;556664,00;Природный  парк;Производственный;Смешанные
Заморозовский;Сибирские Увалы;reg;reg;KHMAO;299620,00;Природный  парк;Непроизводственный;Рекреационные
Брусничное;Самаровски й Чугас;reg;reg;KHMAO;6621,00;Природный  парк;Непроизводственный;Селитебные
Боровский;Вогулка;reg;reg;KHMAO;64747,00;Природный заказник;Непроизводственный;Рекреационные
Озеро Табан;Березовский;reg;reg;KHMAO;43320,00;Природный  заказник;Непроизводственный;ООПТ с традиционным природопользованием
Язевский;Сорумский;reg;reg;KHMAO;159300,00;Природный  заказник;Производственный;ООПТ с нефтегазовым освоением
Козлов мыс;Унторский;reg;reg;KHMAO;81526,00;Природный  заказник;Непроизводственный;ООПТ с традиционным природопользованием
Зиновский курган;Сургутский;reg;reg;KHMAO;24530,00;Природный  заказник;Производственный;ООПТ с нефтегазовым освоением
Карташовский бор;Система озёр Ун-Новыинклор, Ай-Новыинклор;reg;reg;KHMAO;598,40;Памятник природы;Непроизводственный;Селитебные
Колмаковский парк;Луговские мамонты;reg;reg;KHMAO;161,20;Памятник природы;Непроизводственный;Рекреационные
Кулаково;Лешак-Щел ья;reg;reg;KHMAO;2320,00;Памятник природы;Непроизводственный;Рекреационные
Медянская роща;Ильичевски й бор;reg;reg;KHMAO;38,00;Памятник природы;Непроизводственный;ООПТ с лесопромышленным комплексом 
Минеральные озера;Остров Овечий;reg;reg;KHMAO;176,00;Памятник природы;Непроизводственный;Рекреационные
Коневский бор;Остров Смольный;reg;reg;KHMAO;486,00;Памятник природы;Непроизводственный;Рекреационные
Березовая роща;Лесоболотн ая зона Большое Каюково;reg;reg;KHMAO;5753,00;Памятник природы;Производственный;ООПТ с нефтегазовым освоением
Народный парк;Чеускински й бор;reg;reg;KHMAO;100,00;Памятник природы;Непроизводственный;Рекреационные
Новоаракчинский;Дальний Нырис;reg;reg;KHMAO;1773,10;Памятник природы;Производственный;ООПТ с лесопромышленным комплексом
Полуяновский бор;Озеро Ранге-Тур (ООПТ местного значения);local;local;KHMAO;863,40;Памятник природы;Непроизводственный;Рекреационные
Гусиный остров;Белоозерский;fed;fed;TYM;17850,00;государственный природный заказник;Непроизводственный;Заповедные
Куньякский;Тюменский;fed;fed;TYM;53585,00;государственный природный заказник;Непроизводственный;Заповедные
Марьино ущелье;Абалакский природно-исторический комплекс;reg;reg_zac;TYM;88173,14;государственный природный заказник;Непроизводственный;Рекреационные
Озерно-болотный комплекс «Ишимбай»;Алабуга;reg;reg_zac;TYM;24181,88;государственный природный заказник;Производственный;ООПТ с лесопромышленным комплексом
Омутинский;Александровский;reg;reg_zac;TYM;81552,02;государственный природный заказник;Непроизводственный;ООПТ с сельскохозяйственной деятельностью
Успенское;Афонский;reg;reg_zac;TYM;17496,36;государственный природный заказник;Производственный;ООПТ с лесопромышленным комплексом
Шашовский (участок 1);Барсучье;reg;reg_zac;TYM;20753,00;государственный природный заказник;Непроизводственный;Рекреационные
Козлов мыс;Викуловский;reg;reg_zac;TYM;75995,74;государственный природный заказник;Производственный;ООПТ с лесопромышленным комплексом
Клепиковский;Гузенеево;reg;reg_zac;TYM;10670,00;государственный природный заказник;Производственный;ООПТ с лесопромышленным комплексом
Урочище Бузан;Дубынский;reg;reg_zac;TYM;11764,68;государственный природный заказник;Непроизводственный;Рекреационные
Рахимовский;Ереминский;reg;reg_zac;TYM;5175,00;государственный природный заказник;Непроизводственный;Рекреационные
Юргинский;Иевлевский;reg;reg_zac;TYM;13514,69;государственный природный заказник;Непроизводственный;Рекреационные
Окрестности села Вагай;Кабанский;reg;reg_zac;TYM;21883,36;государственный природный заказник;Непроизводственный;ООПТ с сельскохозяйственной деятельностью
Лесопарк имени Ю.А.Гагарина, уч1;Клепиковский;reg;reg_zac;TYM;12925,30;государственный природный заказник;Непроизводственный;Рекреационные
Червишевский;Комиссаровский;reg;reg_zac;TYM;4389,90;государственный природный заказник;Непроизводственный;Рекреационные
Стершиный;Куньякский;reg;reg_zac;TYM;116215,83;государственный природный заказник;Производственный;ООПТ с нефтегазовым освоением
Шашовский (участки 2, 3);Лебяжье;reg;reg_zac;TYM;2786,60;государственный природный заказник;Непроизводственный;Рекреационные
Стершиный-2;Мошкаринский;reg;reg_zac;TYM;15142,60;государственный природный заказник;Производственный;ООПТ с лесопромышленным комплексом
Юртоборовский;Ново-Таповский;reg;reg_zac;TYM;8319,11;государственный природный заказник;Непроизводственный;Рекреационные
